# Nombre de tâches (n)
140

# Nombre d'étapes (s)
15

# Ressources maximales par étape (soudeurs qualifiés, soudeurs ordinaires, robots)
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4

# Temps de traitement (tâche, étape): (temps soudeur qualifié, temps soudeur ordinaire)
# Tâche 0
(11, 6) (15, 8) (17, 9) (8, 3) (13, 7) (9, 4) (12, 7) (10, 5) (16, 8) (14, 7) (8, 2) (6, 1) (7, 2) (9, 1) (5, 2)
# Tâche 1
(8, 2) (6, 1) (7, 2) (9, 1) (5, 2) (11, 3) (7, 1) (13, 3) (10, 2) (12, 3) (15, 3) (8, 1) (12, 2) (6, 1) (14, 1)
# Tâche 2
(13, 2) (10, 1) (9, 2) (7, 1) (11, 2) (15, 3) (8, 1) (12, 2) (6, 1) (14, 1) (7, 3) (12, 7) (9, 5) (14, 8) (6, 4)
# Tâche 3
(7, 3) (12, 7) (9, 5) (14, 8) (6, 4) (10, 5) (16, 10) (7, 2) (11, 6) (13, 8) (14, 1) (8, 2) (11, 1) (9, 2) (12, 1)
# Tâche 4
(14, 1) (8, 2) (11, 1) (9, 2) (12, 1) (7, 2) (15, 3) (8, 1) (10, 2) (6, 1) (9, 4) (11, 7) (13, 8) (6, 3) (10, 6)
# Tâche 5
(9, 4) (11, 7) (13, 8) (6, 3) (10, 6) (8, 4) (14, 7) (12, 8) (7, 3) (15, 9) (10, 1) (7, 2) (12, 1) (8, 2) (9, 1)
# Tâche 6
(10, 1) (7, 2) (12, 1) (8, 2) (9, 1) (13, 2) (11, 3) (7, 1) (15, 2) (8, 2) (12, 5) (14, 8) (11, 6) (13, 7) (7, 3)
# Tâche 7
(12, 5) (14, 8) (11, 6) (13, 7) (7, 3) (6, 3) (12, 6) (10, 5) (14, 8) (15, 10) (6, 2) (9, 1) (10, 2) (5, 1) (8, 2)
# Tâche 8
(6, 2) (9, 1) (10, 2) (5, 1) (8, 2) (15, 1) (8, 2) (10, 1) (12, 3) (11, 1) (15, 7) (10, 5) (8, 3) (11, 6) (14, 9)
# Tâche 9
(15, 7) (10, 5) (8, 3) (11, 6) (14, 9) (12, 6) (7, 2) (13, 8) (9, 4) (16, 10) (7, 1) (11, 2) (6, 1) (10, 2) (9, 1)
# Tâche 10
