# Nombre de tâches (n)
140

# Nombre d'étapes (s)
5

# Ressources maximales par étape (soudeurs qualifiés, soudeurs ordinaires, robots)
2 2 4
2 2 4
2 2 4
2 2 4
2 2 4

# Temps de traitement (tâche, étape): (temps soudeur qualifié, temps soudeur ordinaire)
# Tâche 0
(11, 6) (15, 8) (17, 9) (8, 3) (13, 7)
# Tâche 1
(8, 2) (6, 1) (7, 2) (9, 1) (5, 2)
# Tâche 2
(13, 2) (10, 1) (9, 2) (7, 1) (11, 2)
# Tâche 3
(7, 3) (12, 7) (9, 5) (14, 8) (6, 4)
# Tâche 4
(14, 1) (8, 2) (11, 1) (9, 2) (12, 1)
# Tâche 5
(9, 4) (11, 7) (13, 8) (6, 3) (10, 6)
# Tâche 6
(10, 1) (7, 2) (12, 1) (8, 2) (9, 1)
# Tâche 7
(12, 5) (14, 8) (11, 6) (13, 7) (7, 3)
# Tâche 8
(6, 2) (9, 1) (10, 2) (5, 1) (8, 2)
# Tâche 9
(15, 7) (10, 5) (8, 3) (11, 6) (14, 9)
# Tâche 10
(7, 1) (11, 2) (6, 1) (10, 2) (9, 1)
# Tâche 11
(10, 5) (13, 8) (7, 3) (12, 7) (9, 4)
# Tâche 12
(8, 2) (12, 1) (9, 2) (6, 1) (11, 2)
# Tâche 13
(13, 6) (9, 4) (11, 7) (15, 9) (7, 3)
# Tâche 14
(9, 1) (10, 2) (13, 1) (7, 2) (12, 1)
# Tâche 15
(11, 6) (8, 3) (10, 5) (14, 8) (6, 2)
# Tâche 16
(7, 2) (13, 1) (8, 2) (11, 1) (9, 2)
# Tâche 17
(14, 7) (9, 4) (12, 6) (7, 3) (10, 5)
# Tâche 18
(10, 1) (6, 2) (11, 1) (13, 2) (8, 1)
# Tâche 19
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 20
(8, 1) (12, 3) (14, 2) (7, 1) (9, 3)
# Tâche 21
(14, 7) (10, 5) (7, 2) (12, 8) (9, 4)
# Tâche 22
(6, 2) (10, 1) (13, 3) (8, 1) (11, 2)
# Tâche 23
(12, 7) (8, 4) (11, 6) (15, 9) (7, 2)
# Tâche 24
(9, 1) (15, 3) (11, 2) (6, 1) (13, 3)
# Tâche 25
(7, 3) (11, 6) (14, 9) (9, 4) (13, 7)
# Tâche 26
(10, 2) (14, 1) (8, 3) (12, 1) (7, 2)
# Tâche 27
(16, 8) (9, 4) (7, 2) (11, 6) (13, 7)
# Tâche 28
(11, 1) (13, 3) (9, 2) (15, 1) (8, 3)
# Tâche 29
(8, 4) (10, 6) (12, 8) (6, 3) (14, 9)
# Tâche 30
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 31
(8, 2) (6, 1) (7, 2) (9, 1) (5, 2)
# Tâche 32
(13, 2) (10, 1) (9, 2) (7, 1) (11, 2)
# Tâche 33
(7, 3) (12, 7) (9, 5) (14, 8) (6, 4)
# Tâche 34
(14, 1) (8, 2) (11, 1) (9, 2) (12, 1)
# Tâche 35
(9, 4) (11, 7) (13, 8) (6, 3) (10, 6)
# Tâche 36
(10, 1) (7, 2) (12, 1) (8, 2) (9, 1)
# Tâche 37
(12, 5) (14, 8) (11, 6) (13, 7) (7, 3)
# Tâche 38
(6, 2) (9, 1) (10, 2) (5, 1) (8, 2)
# Tâche 39
(15, 7) (10, 5) (8, 3) (11, 6) (14, 9)
# Tâche 40
(7, 1) (11, 2) (6, 1) (10, 2) (9, 1)
# Tâche 41
(10, 5) (13, 8) (7, 3) (12, 7) (9, 4)
# Tâche 42
(8, 2) (12, 1) (9, 2) (6, 1) (11, 2)
# Tâche 43
(13, 6) (9, 4) (11, 7) (15, 9) (7, 3)
# Tâche 44
(9, 1) (10, 2) (13, 1) (7, 2) (12, 1)
# Tâche 45
(11, 6) (8, 3) (10, 5) (14, 8) (6, 2)
# Tâche 46
(7, 2) (13, 1) (8, 2) (11, 1) (9, 2)
# Tâche 47
(14, 7) (9, 4) (12, 6) (7, 3) (10, 5)
# Tâche 48
(10, 1) (6, 2) (11, 1) (13, 2) (8, 1)
# Tâche 49
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 50
(8, 1) (12, 3) (14, 2) (7, 1) (9, 3)
# Tâche 51
(14, 7) (10, 5) (7, 2) (12, 8) (9, 4)
# Tâche 52
(6, 2) (10, 1) (13, 3) (8, 1) (11, 2)
# Tâche 53
(12, 7) (8, 4) (11, 6) (15, 9) (7, 2)
# Tâche 54
(9, 1) (15, 3) (11, 2) (6, 1) (13, 3)
# Tâche 55
(7, 3) (11, 6) (14, 9) (9, 4) (13, 7)
# Tâche 56
(10, 2) (14, 1) (8, 3) (12, 1) (7, 2)
# Tâche 57
(16, 8) (9, 4) (7, 2) (11, 6) (13, 7)
# Tâche 58
(11, 1) (13, 3) (9, 2) (15, 1) (8, 3)
# Tâche 59
(8, 4) (10, 6) (12, 8) (6, 3) (14, 9)
# Tâche 60
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 61
(8, 2) (6, 1) (7, 2) (9, 1) (5, 2)
# Tâche 62
(13, 2) (10, 1) (9, 2) (7, 1) (11, 2)
# Tâche 63
(7, 3) (12, 7) (9, 5) (14, 8) (6, 4)
# Tâche 64
(14, 1) (8, 2) (11, 1) (9, 2) (12, 1)
# Tâche 65
(9, 4) (11, 7) (13, 8) (6, 3) (10, 6)
# Tâche 66
(10, 1) (7, 2) (12, 1) (8, 2) (9, 1)
# Tâche 67
(12, 5) (14, 8) (11, 6) (13, 7) (7, 3)
# Tâche 68
(6, 2) (9, 1) (10, 2) (5, 1) (8, 2)
# Tâche 69
(15, 7) (10, 5) (8, 3) (11, 6) (14, 9)
# Tâche 70
(7, 1) (11, 2) (6, 1) (10, 2) (9, 1)
# Tâche 71
(10, 5) (13, 8) (7, 3) (12, 7) (9, 4)
# Tâche 72
(8, 2) (12, 1) (9, 2) (6, 1) (11, 2)
# Tâche 73
(13, 6) (9, 4) (11, 7) (15, 9) (7, 3)
# Tâche 74
(9, 1) (10, 2) (13, 1) (7, 2) (12, 1)
# Tâche 75
(11, 6) (8, 3) (10, 5) (14, 8) (6, 2)
# Tâche 76
(7, 2) (13, 1) (8, 2) (11, 1) (9, 2)
# Tâche 77
(14, 7) (9, 4) (12, 6) (7, 3) (10, 5)
# Tâche 78
(10, 1) (6, 2) (11, 1) (13, 2) (8, 1)
# Tâche 79
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 80
(8, 1) (12, 3) (14, 2) (7, 1) (9, 3)
# Tâche 81
(14, 7) (10, 5) (7, 2) (12, 8) (9, 4)
# Tâche 82
(6, 2) (10, 1) (13, 3) (8, 1) (11, 2)
# Tâche 83
(12, 7) (8, 4) (11, 6) (15, 9) (7, 2)
# Tâche 84
(9, 1) (15, 3) (11, 2) (6, 1) (13, 3)
# Tâche 85
(7, 3) (11, 6) (14, 9) (9, 4) (13, 7)
# Tâche 86
(10, 2) (14, 1) (8, 3) (12, 1) (7, 2)
# Tâche 87
(16, 8) (9, 4) (7, 2) (11, 6) (13, 7)
# Tâche 88
(11, 1) (13, 3) (9, 2) (15, 1) (8, 3)
# Tâche 89
(8, 4) (10, 6) (12, 8) (6, 3) (14, 9)
# Tâche 90
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 91
(8, 2) (6, 1) (7, 2) (9, 1) (5, 2)
# Tâche 92
(13, 2) (10, 1) (9, 2) (7, 1) (11, 2)
# Tâche 93
(7, 3) (12, 7) (9, 5) (14, 8) (6, 4)
# Tâche 94
(14, 1) (8, 2) (11, 1) (9, 2) (12, 1)
# Tâche 95
(9, 4) (11, 7) (13, 8) (6, 3) (10, 6)
# Tâche 96
(10, 1) (7, 2) (12, 1) (8, 2) (9, 1)
# Tâche 97
(12, 5) (14, 8) (11, 6) (13, 7) (7, 3)
# Tâche 98
(6, 2) (9, 1) (10, 2) (5, 1) (8, 2)
# Tâche 99
(15, 7) (10, 5) (8, 3) (11, 6) (14, 9)
# Tâche 100
(7, 1) (11, 2) (6, 1) (10, 2) (9, 1)
# Tâche 101
(10, 5) (13, 8) (7, 3) (12, 7) (9, 4)
# Tâche 102
(8, 2) (12, 1) (9, 2) (6, 1) (11, 2)
# Tâche 103
(13, 6) (9, 4) (11, 7) (15, 9) (7, 3)
# Tâche 104
(9, 1) (10, 2) (13, 1) (7, 2) (12, 1)
# Tâche 105
(11, 6) (8, 3) (10, 5) (14, 8) (6, 2)
# Tâche 106
(7, 2) (13, 1) (8, 2) (11, 1) (9, 2)
# Tâche 107
(14, 7) (9, 4) (12, 6) (7, 3) (10, 5)
# Tâche 108
(10, 1) (6, 2) (11, 1) (13, 2) (8, 1)
# Tâche 109
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 110
(8, 1) (12, 3) (14, 2) (7, 1) (9, 3)
# Tâche 111
(14, 7) (10, 5) (7, 2) (12, 8) (9, 4)
# Tâche 112
(6, 2) (10, 1) (13, 3) (8, 1) (11, 2)
# Tâche 113
(12, 7) (8, 4) (11, 6) (15, 9) (7, 2)
# Tâche 114
(9, 1) (15, 3) (11, 2) (6, 1) (13, 3)
# Tâche 115
(7, 3) (11, 6) (14, 9) (9, 4) (13, 7)
# Tâche 116
(10, 2) (14, 1) (8, 3) (12, 1) (7, 2)
# Tâche 117
(16, 8) (9, 4) (7, 2) (11, 6) (13, 7)
# Tâche 118
(11, 1) (13, 3) (9, 2) (15, 1) (8, 3)
# Tâche 119
(8, 4) (10, 6) (12, 8) (6, 3) (14, 9)
# Tâche 120
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)
# Tâche 121
(8, 2) (6, 1) (7, 2) (9, 1) (5, 2)
# Tâche 122
(13, 2) (10, 1) (9, 2) (7, 1) (11, 2)
# Tâche 123
(7, 3) (12, 7) (9, 5) (14, 8) (6, 4)
# Tâche 124
(14, 1) (8, 2) (11, 1) (9, 2) (12, 1)
# Tâche 125
(9, 4) (11, 7) (13, 8) (6, 3) (10, 6)
# Tâche 126
(10, 1) (7, 2) (12, 1) (8, 2) (9, 1)
# Tâche 127
(12, 5) (14, 8) (11, 6) (13, 7) (7, 3)
# Tâche 128
(6, 2) (9, 1) (10, 2) (5, 1) (8, 2)
# Tâche 129
(15, 7) (10, 5) (8, 3) (11, 6) (14, 9)
# Tâche 130
(7, 1) (11, 2) (6, 1) (10, 2) (9, 1)
# Tâche 131
(10, 5) (13, 8) (7, 3) (12, 7) (9, 4)
# Tâche 132
(8, 2) (12, 1) (9, 2) (6, 1) (11, 2)
# Tâche 133
(13, 6) (9, 4) (11, 7) (15, 9) (7, 3)
# Tâche 134
(9, 1) (10, 2) (13, 1) (7, 2) (12, 1)
# Tâche 135
(11, 6) (8, 3) (10, 5) (14, 8) (6, 2)
# Tâche 136
(7, 2) (13, 1) (8, 2) (11, 1) (9, 2)
# Tâche 137
(14, 7) (9, 4) (12, 6) (7, 3) (10, 5)
# Tâche 138
(10, 1) (6, 2) (11, 1) (13, 2) (8, 1)
# Tâche 139
(12, 6) (7, 3) (14, 8) (10, 5) (9, 4)












Canvas
