# Number of tasks (n)
60


# Number of stages (s)
15

# Maximum resources per stage (qualified welders, ordinary welders, robots)
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4

# Processing time (task, stage): (qualified welder time, ordinary welder time)
# Task 0
(8, 3) (14, 7) (9, 5) (12, 6) (7, 2) (11, 6) (13, 8) (6, 2) (10, 5) (15, 9) (9, 4) (12, 7) (8, 3) (11, 6) (10, 5)
# Task  1
(15, 1) (7, 2) (11, 3) (6, 1) (10, 2) (8, 2) (13, 3) (7, 1) (9, 2) (14, 3) (12, 3) (6, 1) (10, 2) (8, 2) (11, 3)
# Task  2
(13, 2) (9, 1) (15, 3) (7, 2) (11, 1) (10, 1) (12, 3) (14, 2) (6, 1) (8, 2) (7, 2) (11, 1) (9, 1) (13, 2) (10, 1)
# Task  3
(7, 4) (11, 6) (13, 8) (6, 3) (10, 5) (15, 9) (8, 4) (12, 7) (9, 5) (16, 10) (14, 9) (7, 4) (11, 6) (13, 8) (10, 5)
# Task  4
(10, 1) (14, 2) (7, 1) (12, 3) (9, 2) (6, 2) (13, 1) (15, 3) (8, 1) (11, 2) (13, 1) (7, 1) (9, 2) (14, 2) (8, 1)
# Task  5
(14, 7) (6, 3) (10, 5) (12, 8) (7, 3) (9, 4) (11, 6) (15, 9) (8, 3) (13, 8) (10, 5) (7, 3) (12, 8) (9, 4) (11, 6)
# Task  6
(11, 2) (15, 1) (8, 2) (13, 3) (6, 1) (7, 1) (9, 2) (14, 2) (12, 1) (10, 3) (13, 3) (6, 1) (8, 2) (11, 2) (7, 1)
# Task  7
(9, 5) (13, 8) (6, 2) (10, 7) (12, 7) (11, 7) (15, 10) (7, 3) (8, 4) (14, 9) (10, 7) (6, 2) (11, 7) (13, 8) (7, 3)
# Task  8
(12, 1) (6, 2) (10, 1) (14, 3) (7, 2) (13, 1) (11, 1) (15, 2) (9, 1) (8, 2) (14, 3) (7, 2) (10, 1) (12, 1) (9, 1)
# Task  9
(6, 3) (10, 5) (14, 9) (7, 2) (11, 6) (12, 7) (8, 4) (16, 10) (9, 5) (13, 8) (7, 2) (14, 9) (11, 6) (9, 5) (8, 4)
# Task  10
(13, 3) (7, 1) (11, 2) (15, 1) (8, 2) (14, 3) (6, 1) (10, 2) (12, 3) (9, 1) (11, 2) (8, 2) (13, 3) (7, 1) (10, 2)
# Task  11
(10, 5) (12, 7) (6, 3) (14, 9) (8, 4) (7, 4) (15, 8) (11, 6) (9, 5) (13, 7) (6, 3) (9, 5) (12, 7) (10, 5) (8, 4)
# Task  12
(15, 1) (8, 2) (13, 3) (7, 1) (11, 2) (12, 3) (9, 1) (14, 3) (6, 1) (10, 2) (13, 3) (7, 1) (9, 1) (15, 1) (8, 2)
# Task  13
(8, 4) (12, 7) (10, 5) (14, 8) (6, 3) (16, 10) (11, 6) (7, 3) (9, 4) (13, 7) (10, 5) (11, 6) (8, 4) (14, 8) (7, 3)
# Task  14
(14, 3) (9, 2) (11, 1) (15, 2) (7, 1) (8, 1) (13, 3) (12, 3) (6, 2) (10, 1) (7, 1) (12, 3) (9, 2) (15, 2) (11, 1)
# Task  15
(12, 7) (10, 5) (14, 8) (8, 3) (11, 6) (9, 4) (7, 3) (15, 9) (6, 2) (13, 8) (8, 3) (7, 3) (10, 5) (12, 7) (9, 4)
# Task  16
(7, 2) (11, 1) (15, 2) (9, 1) (13, 3) (12, 1) (10, 1) (14, 2) (8, 3) (6, 2) (15, 2) (10, 1) (7, 2) (11, 1) (9, 1)
# Task  17
(11, 6) (15, 9) (8, 4) (13, 8) (6, 2) (7, 3) (14, 8) (10, 5) (9, 4) (12, 7) (13, 8) (9, 4) (7, 3) (11, 6) (8, 4)
# Task  18
(14, 2) (7, 1) (12, 3) (10, 1) (15, 2) (13, 1) (9, 1) (6, 2) (8, 2) (11, 3) (15, 2) (8, 2) (10, 1) (12, 3) (7, 1)
# Task  19
(8, 4) (13, 8) (6, 3) (11, 6) (14, 7) (15, 9) (7, 2) (12, 7) (9, 4) (10, 5) (6, 3) (9, 4) (13, 8) (8, 4) (11, 6)
# Task  20
(11, 1) (15, 2) (7, 2) (9, 1) (13, 3) (10, 2) (14, 1) (6, 1) (8, 3) (12, 1) (9, 1) (14, 1) (7, 2) (11, 1) (10, 2)
# Task  21
(15, 8) (7, 3) (11, 6) (13, 7) (9, 4) (6, 2) (14, 9) (8, 4) (10, 5) (12, 7) (9, 4) (14, 9) (7, 3) (11, 6) (8, 4)
# Task  22
(9, 2) (13, 1) (15, 2) (7, 1) (11, 3) (14, 3) (12, 1) (10, 2) (6, 1) (8, 1) (11, 3) (6, 1) (13, 1) (9, 2) (10, 2)
# Task  23
(13, 8) (6, 3) (10, 5) (14, 9) (7, 2) (8, 4) (15, 8) (11, 6) (9, 4) (12, 7) (7, 2) (9, 4) (13, 8) (10, 5) (8, 4)
# Task  24
(7, 1) (11, 2) (9, 1) (15, 2) (12, 3) (10, 1) (13, 3) (14, 2) (6, 1) (8, 2) (9, 1) (13, 3) (7, 1) (11, 2) (10, 1)
# Task  25
(10, 5) (14, 8) (7, 3) (12, 7) (6, 3) (11, 6) (8, 3) (15, 9) (9, 4) (13, 7) (6, 3) (9, 4) (12, 7) (10, 5) (8, 3)
# Task  26
(15, 2) (8, 1) (12, 3) (10, 1) (7, 2) (13, 2) (11, 2) (14, 1) (6, 1) (9, 1) (7, 2) (6, 1) (10, 1) (13, 2) (8, 1)
# Task  27
(12, 7) (6, 3) (14, 9) (8, 4) (10, 5) (11, 7) (9, 5) (15, 10) (7, 3) (13, 8) (8, 4) (7, 3) (10, 5) (12, 7) (9, 5)
# Task  28
(11, 1) (15, 2) (9, 2) (13, 3) (7, 1) (9, 1) (12, 3) (14, 2) (6, 1) (10, 2) (7, 1) (6, 1) (10, 2) (13, 3) (9, 2)
# Task  29
(14, 9) (8, 4) (6, 3) (11, 6) (13, 7) (12, 7) (10, 5) (7, 3) (15, 8) (9, 4) (6, 3) (9, 4) (13, 7) (8, 4) (11, 6)
# Task  30
(9, 2) (13, 1) (7, 2) (11, 3) (15, 1) (6, 2) (14, 3) (12, 1) (10, 1) (8, 2) (7, 2) (10, 1) (13, 1) (9, 2) (11, 3)
# Task  31
(6, 3) (11, 6) (14, 7) (10, 5) (12, 8) (14, 8) (9, 4) (15, 9) (7, 3) (8, 3) (10, 5) (7, 3) (12, 8) (9, 4) (11, 6)
# Task  32
(14, 1) (7, 2) (9, 1) (12, 3) (15, 2) (10, 1) (8, 1) (13, 3) (11, 2) (6, 2) (9, 1) (8, 1) (11, 2) (14, 1) (7, 2)
# Task  33
(11, 6) (14, 7) (8, 4) (6, 3) (10, 5) (13, 7) (12, 7) (15, 9) (7, 2) (9, 4) (6, 3) (9, 4) (14, 7) (8, 4) (10, 5)
# Task  34
(12, 3) (10, 1) (15, 2) (7, 2) (9, 1) (11, 2) (14, 2) (8, 1) (6, 1) (13, 3) (9, 1) (6, 1) (11, 2) (12, 3) (8, 1)
# Task  35
(6, 3) (10, 5) (12, 7) (14, 8) (8, 3) (9, 4) (13, 7) (11, 6) (15, 9) (7, 2) (8, 3) (11, 6) (6, 3) (14, 8) (9, 4)
# Task  36
(15, 2) (9, 1) (13, 3) (11, 1) (7, 2) (12, 1) (14, 1) (10, 3) (8, 1) (6, 2) (11, 1) (8, 1) (14, 1) (15, 2) (7, 2)
# Task  37
(10, 5) (12, 7) (8, 4) (6, 3) (14, 9) (13, 8) (11, 7) (15, 10) (7, 3) (9, 4) (8, 4) (11, 7) (6, 3) (14, 9) (10, 5)
# Task  38
(13, 3) (7, 1) (11, 2) (15, 1) (9, 2) (14, 2) (10, 2) (6, 1) (8, 1) (12, 3) (11, 2) (8, 1) (14, 2) (13, 3) (7, 1)
# Task  39
(12, 7) (6, 3) (14, 9) (10, 5) (8, 4) (7, 3) (9, 4) (13, 8) (11, 6) (15, 9) (8, 4) (11, 6) (6, 3) (14, 9) (7, 3)
# Task  40
(11, 2) (15, 1) (9, 2) (7, 1) (13, 3) (10, 1) (12, 3) (14, 3) (6, 1) (8, 1) (13, 3) (6, 1) (10, 1) (11, 2) (7, 1)
# Task  41
(14, 9) (8, 4) (10, 5) (12, 7) (6, 3) (13, 7) (7, 3) (11, 6) (15, 8) (9, 4) (6, 3) (11, 6) (8, 4) (14, 9) (7, 3)
# Task  42
(15, 1) (9, 2) (7, 1) (11, 3) (13, 2) (8, 2) (12, 1) (10, 1) (14, 3) (6, 1) (13, 2) (10, 1) (7, 1) (15, 1) (9, 2)
# Task  43
(8, 4) (10, 5) (14, 9) (6, 3) (12, 7) (15, 8) (7, 3) (9, 4) (11, 6) (13, 7) (10, 5) (11, 6) (6, 3) (14, 9) (7, 3)
# Task  44
(14, 3) (9, 2) (11, 1) (15, 2) (7, 1) (8, 1) (13, 3) (12, 3) (6, 2) (10, 1) (11, 1) (6, 2) (10, 1) (14, 3) (7, 1)
# Task  45
(12, 7) (10, 5) (14, 8) (8, 3) (11, 6) (9, 4) (7, 3) (15, 9) (6, 2) (13, 8) (7, 3) (9, 4) (10, 5) (12, 7) (8, 3)
# Task  46
(7, 2) (11, 1) (15, 2) (9, 1) (13, 3) (12, 1) (10, 1) (14, 2) (8, 3) (6, 2) (13, 3) (10, 1) (7, 2) (15, 2) (9, 1)
# Task  47
(11, 6) (15, 9) (8, 4) (13, 8) (6, 2) (7, 3) (14, 8) (10, 5) (9, 4) (12, 7) (7, 3) (9, 4) (13, 8) (11, 6) (8, 4)
# Task  48
(14, 2) (7, 1) (12, 3) (10, 1) (15, 2) (13, 1) (9, 1) (6, 2) (8, 2) (11, 3) (13, 1) (8, 2) (10, 1) (15, 2) (7, 1)
# Task  49
(8, 4) (13, 8) (6, 3) (11, 6) (14, 7) (15, 9) (7, 2) (12, 7) (9, 4) (10, 5) (7, 2) (9, 4) (13, 8) (11, 6) (8, 4)
# Task  50
(11, 1) (15, 2) (7, 2) (9, 1) (13, 3) (10, 2) (14, 1) (6, 1) (8, 3) (12, 1) (13, 3) (8, 3) (10, 2) (15, 2) (7, 2)
# Task  51
(15, 8) (7, 3) (11, 6) (13, 7) (9, 4) (6, 2) (14, 9) (8, 4) (10, 5) (12, 7) (6, 2) (10, 5) (7, 3) (13, 7) (9, 4)
# Task  52
(9, 2) (13, 1) (15, 2) (7, 1) (11, 3) (14, 3) (12, 1) (10, 2) (6, 1) (8, 1) (11, 3) (8, 1) (10, 2) (15, 2) (7, 1)
# Task  53
(13, 8) (6, 3) (10, 5) (14, 9) (7, 2) (8, 4) (15, 8) (11, 6) (9, 4) (12, 7) (8, 4) (11, 6) (7, 2) (14, 9) (10, 5)
# Task  54
(7, 1) (11, 2) (9, 1) (15, 2) (12, 3) (10, 1) (13, 3) (14, 2) (6, 1) (8, 2) (13, 3) (6, 1) (10, 1) (11, 2) (7, 1)
# Task  55
(10, 5) (14, 8) (7, 3) (12, 7) (6, 3) (11, 6) (8, 3) (15, 9) (9, 4) (13, 7) (8, 3) (11, 6) (6, 3) (14, 8) (7, 3)
# Task  56
(15, 2) (8, 1) (12, 3) (10, 1) (7, 2) (13, 2) (11, 2) (14, 1) (6, 1) (9, 1) (7, 2) (6, 1) (10, 1) (12, 3) (8, 1)
# Task  57
(12, 7) (6, 3) (14, 9) (8, 4) (10, 5) (11, 7) (9, 5) (15, 10) (7, 3) (13, 8) (8, 4) (7, 3) (10, 5) (14, 9) (9, 5)
# Task  58
(11, 1) (15, 2) (9, 2) (13, 3) (7, 1) (9, 1) (12, 3) (14, 2) (6, 1) (10, 2) (7, 1) (6, 1) (10, 2) (13, 3) (9, 2)
# Task  59
(14, 9) (8, 4) (6, 3) (11, 6) (13, 7) (12, 7) (10, 5) (7, 3) (15, 8) (9, 4) (6, 3) (9, 4) (13, 7) (11, 6) (8, 4)

# Breakdown probabilities per stage
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0

# Maintenance probabilities per stage
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5

# List of complex operations (task, stage)
(29, 0) (29, 1) (29, 2) (29, 3) (29, 4) (29, 5) (29, 6) (29, 7) (29, 8) (29, 9) (29, 10) (29, 11) (29, 12) (29, 13) (29, 14)
